Extract tank Level,FFTE Discharge density,FFTE Discharge solids,FFTE Feed flow rate PV,FFTE Feed solids PV,FFTE Heat temperature 1,FFTE Heat temperature 2,FFTE Heat temperature 3,FFTE Production solids PV,FFTE Steam pressure PV,TFE Input flow PV,TFE Level,TFE Motor current,TFE Motor speed,TFE Out flow PV,TFE Product out temperature,TFE Production solids PV,TFE Production solids density,TFE Steam pressure PV,TFE Steam temperature,TFE Tank level,TFE Temperature,TFE Vacuum pressure PV,Hour,DayOfWeek,Month,FFTE Feed solids_deviation,FFTE Production solids_deviation,FFTE Steam pressure_deviation,TFE Out flow_deviation,TFE Production solids_deviation,TFE Vacuum pressure_deviation,TFE Steam pressure_deviation,Set Time_year,Set Time_month,Set Time_day,Set Time_dayofweek,Set Time_quarter,FFTE Feed solids SP,FFTE Production solids SP,FFTE Steam pressure SP,TFE Out flow SP,TFE Production solids SP,TFE Vacuum pressure SP,TFE Steam pressure SP
32.59,1.23,37.16,9407.91,47.01,65.21,65.05,65.82,37.9,128.13,1686.77,42.59,25.88,80,2020.1,0,11.35,0.75,119.91,69.5,31.47,70,-76.0,9,3,7,2.990000000000002,5.100000000000001,-0.1700000000000017,165.95000000000027,52.65,-3.950000000000003,0.0900000000000034,2019,7,4,3,3,50.0,43.0,127.96,2186.05,64.0,-79.95,120.0
38.04,1.1,46.12,9799.61,55.24,52.14,62.96,63.61,44.25,95.0,2173.8,71.42,67.73,80,571.34,0,62.17,0.91,120.23,63.41,84.03,70,-80.92,18,2,7,-5.240000000000002,-5.25,0.0,1577.12,-4.170000000000002,6.560000000000002,-0.2300000000000039,2019,7,24,2,3,50.0,39.0,95.0,2148.46,58.0,-74.36,120.0
1.31,1.1,52.55,9209.47,39.29,40.99,57.04,40.15,44.48,123.57,2230.87,53.64,30.45,80,4595.98,0,59.49,1.21,119.91,78.15,54.38,87,-48.82,3,4,7,-14.29,-1.4799999999999969,0.0700000000000073,-2409.9299999999994,4.509999999999998,3.82,0.0900000000000034,2019,7,19,4,3,25.0,43.0,123.64,2186.05,64.0,-45.0,120.0
55.6,1.05,15.2,9280.16,31.53,55.76,66.59,67.0,19.61,120.0,2051.88,51.88,24.8,80,1353.44,0,-11.99,0.87,120.23,79.59,39.84,84,-44.61,4,1,9,6.549999999999997,19.39,-16.0,1007.33,77.85,-0.3900000000000005,-0.2300000000000039,2019,9,10,1,3,38.08,39.0,104.0,2360.77,65.86,-45.0,120.0
48.28,1.53,47.91,9998.05,49.22,58.96,67.2,65.5,50.01,145.75,2064.85,49.64,28.23,80,2179.64,0,42.88,1.12,119.91,78.86,82.99,83,-53.42,19,1,2,0.7800000000000011,-7.009999999999998,-0.75,76.17000000000007,22.12,-26.17,0.0900000000000034,2020,2,18,1,1,50.0,43.0,145.0,2255.81,65.0,-79.59,120.0
67.45,1.32,-4.06,10247.73,24.61,44.32,57.8,64.44,-2.27,138.33,3096.63,66.97,25.47,80,3045.4,0,-10.66,1.0,84.99,73.54,48.23,79,-49.53,16,2,11,0.3900000000000005,45.27,-0.2900000000000204,-56.559999999999945,15.66,4.530000000000001,0.0100000000000051,2019,11,20,2,4,25.0,43.0,138.04,2988.84,5.0,-45.0,85.0
42.78,0.56,50.45,10062.26,48.71,52.26,60.88,61.14,49.05,116.11,1782.75,47.2,30.02,80,3032.43,0,67.38,1.28,119.91,64.85,83.38,75,-72.46,0,3,7,1.2899999999999991,-8.049999999999997,-0.1099999999999994,-699.1399999999999,0.6200000000000045,0.3299999999999983,0.0900000000000034,2019,7,18,3,3,50.0,41.0,116.0,2333.29,68.0,-72.13,120.0
63.53,1.29,45.44,9293.13,56.78,54.64,66.78,67.2,44.55,109.8,2205.58,46.85,29.64,80,1853.44,0,48.6,0.73,120.23,59.18,59.59,65,-84.45,0,3,8,-6.780000000000001,-5.549999999999997,0.2000000000000028,578.8699999999999,9.4,-4.349999999999994,-0.2300000000000039,2019,8,22,3,3,50.0,39.0,110.0,2432.31,58.0,-88.8,120.0
56.27,1.32,50.61,9978.6,55.24,51.97,65.18,66.97,49.26,124.24,2629.05,33.87,30.89,80,686.77,0,43.96,1.19,108.04,53.9,70.29,71,-57.98,4,3,8,-5.240000000000002,-6.259999999999998,0.7600000000000051,1499.2800000000002,-4.960000000000001,-22.72000000000001,11.959999999999994,2019,8,8,3,3,50.0,43.0,125.0,2186.05,39.0,-80.7,120.0
49.7,1.28,42.39,9786.64,57.01,58.41,65.01,65.34,42.91,125.67,2077.17,45.25,34.56,80,1590.79,0,65.42,0.83,119.91,56.94,55.59,62,-87.94,8,3,8,-7.009999999999998,0.0900000000000034,-0.6700000000000017,595.2600000000002,0.5799999999999983,-0.519999999999996,0.0900000000000034,2019,8,29,3,3,50.0,43.0,125.0,2186.05,66.0,-88.46,120.0
31.83,0.83,42.99,9177.69,49.41,50.57,61.88,61.85,43.21,84.76,2154.34,56.4,28.74,80,2629.05,0,37.08,0.95,120.23,73.18,84.69,80,-38.97,23,1,11,0.5900000000000034,-2.710000000000001,0.2399999999999948,-638.7300000000002,8.420000000000002,-31.65000000000001,-0.2300000000000039,2019,11,19,1,4,50.0,40.5,85.0,1990.32,45.5,-70.62,120.0
40.6,1.25,55.46,9625.81,51.01,58.64,67.29,68.06,55.46,130.24,1757.46,43.58,29.95,80,770.43,0,57.16,1.13,119.91,63.61,18.8,69,-79.49,12,2,4,-1.009999999999998,-13.46,-0.2400000000000091,1443.86,7.840000000000003,0.0499999999999971,0.0900000000000034,2020,4,15,2,2,50.0,42.0,130.0,2214.29,65.0,-79.44,120.0
21.95,1.25,54.78,9485.08,49.8,54.54,67.29,67.48,56.2,130.95,1718.55,45.89,29.88,80,1635.54,0,71.45,1.13,120.23,70.88,81.16,79,-64.37,13,2,4,0.2000000000000028,-14.200000000000005,-0.9499999999999886,578.75,0.5499999999999972,-0.0699999999999931,-0.2300000000000039,2020,4,15,2,2,50.0,42.0,130.0,2214.29,72.0,-64.44,120.0
45.02,1.53,32.61,9299.61,49.19,44.16,65.24,65.95,36.04,104.16,1769.78,42.08,25.64,80,1142.02,0,31.71,1.04,119.91,70.21,82.44,67,-76.67,17,1,1,0.8100000000000023,5.960000000000001,-0.1599999999999966,1492.98,31.29,-3.289999999999992,0.0900000000000034,2020,1,21,1,1,50.0,42.0,104.0,2635.0,63.0,-79.96,120.0
38.8,1.3,64.91,10215.95,57.74,51.82,67.48,63.93,64.98,126.38,1744.49,48.61,28.47,80,2782.75,0,67.67,1.24,65.11,74.98,79.32,85,-53.42,12,2,7,-7.740000000000002,-21.980000000000004,-0.1599999999999966,300.9699999999998,-1.6700000000000017,0.6600000000000037,-0.1099999999999994,2019,7,31,2,3,50.0,43.0,126.22,3083.72,66.0,-52.76,65.0
51.58,1.23,50.82,9376.13,50.37,65.01,64.09,65.75,51.35,120.36,1750.97,45.38,28.1,80,1590.79,0,62.75,1.04,119.91,69.41,82.4,77,-69.29,7,1,3,-0.3699999999999974,-9.35,-0.3599999999999994,623.5,2.25,0.0,0.0900000000000034,2020,3,24,1,1,50.0,42.0,120.0,2214.29,65.0,-69.29,120.0
43.23,1.09,31.19,9402.08,57.1,54.41,65.18,66.46,36.71,109.09,1840.47,42.2,28.16,80,2725.03,0,62.24,1.22,119.91,52.01,86.84,57,-88.66,9,3,9,-7.100000000000001,6.289999999999999,0.9099999999999966,-538.98,-2.240000000000002,-0.3400000000000034,0.0900000000000034,2019,9,5,3,3,50.0,43.0,110.0,2186.05,60.0,-89.0,120.0
62.42,1.25,49.56,9407.91,56.75,53.84,61.78,61.39,50.3,110.48,2192.61,52.52,29.47,80,2769.78,0,55.64,1.19,120.23,64.5,82.68,70,-69.29,8,4,11,-6.75,-9.799999999999995,-0.480000000000004,-650.3000000000002,-10.14,23.31000000000001,-0.2300000000000039,2019,11,15,4,4,50.0,40.5,110.0,2119.48,45.5,-45.98,120.0
20.55,1.37,55.34,10190.01,50.89,52.74,67.13,59.66,56.41,135.87,1782.75,47.3,29.07,80,2468.87,0,65.44,1.26,119.91,66.94,78.88,75,-71.75,22,2,3,-0.8900000000000006,-13.409999999999997,-0.8700000000000045,330.2000000000003,3.5600000000000023,-1.7900000000000065,0.0900000000000034,2020,3,18,2,1,50.0,43.0,135.0,2799.07,69.0,-73.54,120.0
66.81,1.03,54.93,10196.5,56.08,48.71,60.34,60.14,54.54,54.09,1551.88,45.44,28.74,80,6044.1,0,72.25,0.87,125.03,79.15,81.95,88,-50.6,9,2,7,-6.079999999999998,-11.54,-0.0900000000000034,-3434.8,0.75,-1.0799999999999983,-0.0300000000000011,2019,7,3,2,3,50.0,43.0,54.0,2609.3,73.0,-51.68,125.0
54.68,1.3,18.94,9197.15,21.32,58.45,67.2,67.32,19.91,105.2,1686.77,40.25,24.2,80,455.9,0,-10.4,0.86,119.91,77.93,16.22,83,-45.29,6,3,11,28.68,20.59,-0.2000000000000028,1663.58,15.4,0.2899999999999991,0.0900000000000034,2019,11,14,3,4,50.0,40.5,105.0,2119.48,5.0,-45.0,120.0
47.06,1.53,42.84,10017.51,49.58,57.9,65.95,65.98,42.99,134.84,1866.41,45.25,29.58,80,1564.85,0,61.37,1.12,121.82,61.17,76.96,66,-79.85,18,1,2,0.4200000000000017,0.009999999999998,0.1599999999999966,690.96,4.630000000000003,-0.1500000000000056,-1.8199999999999927,2020,2,18,1,1,50.0,43.0,135.0,2255.81,66.0,-80.0,120.0
1.76,1.07,50.98,9350.84,25.77,54.54,60.56,37.05,49.86,122.85,1693.26,44.41,31.13,80,1500.65,0,71.67,0.91,125.03,66.65,82.34,77,-71.75,20,0,3,-0.7699999999999996,-8.36,0.1500000000000056,535.01,1.3299999999999983,-0.3799999999999954,-0.0300000000000011,2020,3,23,0,1,25.0,41.5,123.0,2035.66,73.0,-72.13,125.0
41.53,1.28,47.76,9318.42,49.73,61.97,64.34,64.57,48.29,120.0,1866.41,46.37,27.76,80,2225.03,0,70.36,1.13,120.23,68.76,52.82,74,-71.39,4,2,4,0.2700000000000031,-6.289999999999999,0.0,-10.740000000000236,-2.3599999999999994,5.170000000000002,-0.2300000000000039,2020,4,15,2,2,50.0,42.0,120.0,2214.29,68.0,-66.22,120.0
60.29,1.13,60.76,9286.64,95.14,44.12,64.63,62.39,60.01,84.76,2192.61,103.15,52.08,80,142.02,0,64.19,0.9,119.91,82.67,78.74,87,-39.65,2,1,10,-45.14,-21.01,0.2399999999999948,2552.6,-0.1899999999999977,0.1299999999999954,0.0900000000000034,2019,10,8,1,4,50.0,39.0,85.0,2694.62,64.0,-39.52,120.0
56.66,1.08,53.62,10151.75,57.1,48.26,63.54,63.7,53.7,99.92,1904.67,47.81,31.87,80,3378.73,0,70.75,1.25,119.91,69.63,82.16,79,-67.86,9,2,10,-7.100000000000001,-10.700000000000005,0.0799999999999983,-481.0799999999999,0.25,0.3700000000000045,0.0900000000000034,2019,10,9,2,4,50.0,43.0,100.0,2897.65,71.0,-67.49,120.0
56.56,1.28,22.56,10222.44,49.38,61.07,59.73,59.31,24.26,117.54,1949.42,47.49,24.87,80,1667.32,0,10.21,0.9,84.99,77.83,40.97,83,-44.96,21,3,5,0.6199999999999974,18.74,0.4599999999999937,941.9800000000002,52.79,-0.0399999999999991,0.0100000000000051,2020,5,21,3,2,50.0,43.0,118.0,2609.3,63.0,-45.0,85.0
64.06,1.33,47.29,10177.04,50.76,53.96,60.78,60.48,46.29,124.91,1949.42,46.24,30.32,80,2596.63,0,72.57,1.27,119.91,60.98,81.37,67,-79.85,20,2,3,-0.759999999999998,-3.289999999999999,3.289999999999992,12.670000000000073,0.4300000000000068,-0.1000000000000085,0.0900000000000034,2020,3,4,2,1,50.0,43.0,128.2,2609.3,73.0,-79.95,120.0
67.53,1.25,35.29,9369.65,50.6,53.97,66.57,66.96,38.65,122.09,1821.01,43.61,25.84,80,1359.27,0,40.49,1.21,119.91,68.09,83.43,67,-77.39,18,1,10,-0.6000000000000014,2.8500000000000014,0.3699999999999903,679.28,24.51,-2.3400000000000034,0.0900000000000034,2019,10,29,1,4,50.0,41.5,122.46,2038.55,65.0,-79.73,120.0
37.35,1.06,46.04,9132.94,49.19,61.88,63.13,63.19,46.34,110.12,1622.57,44.47,28.06,80,1532.43,0,71.95,1.24,119.91,68.15,83.79,80,-67.54,9,3,4,0.8100000000000023,-4.340000000000003,-0.1200000000000045,460.42999999999984,-0.9500000000000028,1.8700000000000043,0.0900000000000034,2020,4,2,3,2,50.0,42.0,110.0,1992.86,71.0,-65.67,120.0
1.46,1.35,56.57,9998.05,27.62,64.18,70.65,33.84,54.56,135.19,1815.18,41.47,47.58,80,2154.34,0,70.32,1.3,125.03,62.74,79.09,71,-80.2,7,3,5,-2.620000000000001,-11.560000000000002,-0.1899999999999977,383.7999999999997,9.680000000000009,35.2,-0.0300000000000011,2020,5,21,3,2,25.0,43.0,135.0,2538.14,80.0,-45.0,125.0
2.72,1.26,47.46,8735.41,35.16,44.73,53.71,39.0,43.96,120.0,1872.24,48.26,28.16,80,1962.39,0,53.82,0.93,125.03,63.8,67.87,71,-64.37,16,4,10,-10.159999999999997,-2.460000000000001,0.0,172.66999999999985,-4.32,28.000000000000007,-0.0300000000000011,2019,10,11,4,4,25.0,41.5,120.0,2135.06,49.5,-36.37,125.0
56.84,1.33,50.01,10190.01,49.35,56.65,68.86,60.4,52.48,140.47,1680.29,51.21,30.66,80,2359.27,0,70.92,1.25,119.91,75.33,79.81,87,-50.92,21,2,2,0.6499999999999986,-9.479999999999997,-0.4699999999999988,487.2400000000002,0.0799999999999983,0.1799999999999997,0.0900000000000034,2020,2,19,2,1,50.0,43.0,140.0,2846.51,71.0,-50.74,120.0
27.64,1.3,55.57,10420.88,49.16,53.36,71.36,61.97,54.56,129.56,1718.55,48.48,30.25,80,1974.71,0,70.32,1.25,99.71,78.57,79.24,92,-36.83,19,2,2,0.8400000000000034,-11.560000000000002,0.4399999999999977,871.8000000000002,-4.319999999999993,0.3299999999999983,0.2900000000000062,2020,2,12,2,1,50.0,43.0,130.0,2846.51,66.0,-36.5,100.0
47.29,1.28,47.76,9299.61,46.14,51.17,63.25,62.68,47.83,125.31,2007.13,46.91,33.24,80,1757.46,0,63.18,1.21,119.58,62.93,49.7,71,-79.13,5,1,10,3.86,-8.829999999999998,-0.3100000000000023,937.16,1.8200000000000005,0.1099999999999994,0.4200000000000017,2019,10,8,1,4,50.0,39.0,125.0,2694.62,65.0,-79.02,120.0
55.52,1.26,41.49,9407.91,48.84,55.85,66.46,66.84,41.64,122.5,1827.5,43.36,29.17,80,1302.2,0,58.03,1.22,119.91,56.52,48.71,60,-86.55,11,3,8,1.1599999999999966,1.3599999999999994,0.5,883.8500000000001,-1.0300000000000011,1.9299999999999928,0.0900000000000034,2019,8,15,3,3,50.0,43.0,123.0,2186.05,57.0,-84.62,120.0
63.44,1.35,59.83,10119.97,50.79,62.65,74.18,61.52,58.35,99.92,1603.76,46.95,28.37,80,1821.01,0,85.63,1.32,79.86,77.61,78.34,91,-41.08,22,2,6,-0.7899999999999991,-15.35,0.0799999999999983,1262.7099999999998,0.3700000000000045,-6.410000000000004,-19.86,2020,6,17,2,2,50.0,43.0,100.0,3083.72,86.0,-47.49,60.0
59.61,1.29,60.73,10151.75,50.57,44.9,65.37,62.87,58.64,72.42,1667.32,45.7,30.02,80,1577.82,0,78.26,1.22,119.91,73.54,80.9,83,-63.65,19,2,10,-0.5700000000000003,-15.64,-0.4200000000000017,1414.0600000000002,0.7399999999999949,-1.5300000000000082,0.0900000000000034,2019,10,23,2,4,50.0,43.0,72.0,2991.88,79.0,-65.18,120.0
41.26,1.22,47.39,9395.59,57.42,47.17,67.03,61.68,47.91,149.6,1622.57,45.41,32.94,80,1474.71,0,57.02,1.16,119.91,68.41,46.56,78,-67.86,0,2,7,-7.420000000000002,-8.909999999999997,0.4000000000000057,940.67,1.9799999999999969,0.6200000000000045,0.0900000000000034,2019,7,17,2,3,50.0,39.0,150.0,2415.38,59.0,-67.24,120.0
52.33,1.09,47.83,9293.13,49.06,44.99,63.44,64.05,48.59,110.12,1866.41,46.85,32.88,80,1757.46,0,61.15,1.17,125.03,68.63,83.14,77,-66.47,10,2,1,0.9399999999999976,-6.590000000000003,-0.1200000000000045,456.8299999999999,0.8500000000000014,-0.1899999999999977,-0.0300000000000011,2020,1,22,2,1,50.0,42.0,110.0,2214.29,62.0,-66.66,125.0
